,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,richard,B00ZV9PXP2,2017-10-07T00:00:00.000Z,5,Great product and service,Great product and service will refer to a friend. And the sales man r good,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Superuser37,B00ZV9PXP2,2017-11-16T00:00:00.000Z,4,External pdf does not work properly,Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Keith,B00ZV9PXP2,2017-12-02T00:00:00.000Z,1,Tricked into buying,"I was looking for a kindle whitepaper. I saw online for $80. What a deal. I ordered it on line and picked it up in the store. I got it home and couldn't adjust the brightness. After a lengthy time with online customer service I called customer service. After 20 minuets with speaking to a female Elmer Fud that doesn't speak english well I figured I would just return it. Although it looks Identical to the $120 model, you can not adjust the brightness. That would have been good information before I bought it.",FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Nibbler,B00ZV9PXP2,2017-03-22T15:18:54.000Z,4,"Easy to use, bare-bones reading device",This is a nice bare-bones reading device. Easy to set up and use. My greatest issue is that it isn't back lit so it can't be used w/o a light on in the room. Returning it an purchasing a paperwhite instead.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,st2005,B00ZV9PXP2,2017-02-13T00:00:00.000Z,5,Great e-reader for beginners,"Easy to use and navigate, purchasing books is fast and simple and I love the fact that I can password protect this device",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Robe12,B00ZV9PXP2,2016-09-17T00:00:00.000Z,4,Good Deal for the Price,The Amazon Kindle is light weight and easy to use.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,kdla,B00ZV9PXP2,2017-01-29T00:00:00.000Z,4,Great,"I love hear readers, I had to replace mine because I destroyed the last, but it is awesome",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Kathy,B00ZV9PXP2,2017-02-17T00:00:00.000Z,5,Easy and simple,Love the simplicity. Also love that I use it for reading only and can't download distracting apps.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Debbie,B00ZV9PXP2,2018-05-01T00:00:00.000Z,5,Compact and light,My husband loves this Kindle. He has a muscular disease keeping him from being able to handle anything with much weight at all. This is perfect.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Tupiman,B00ZV9PXP2,2017-03-15T00:00:00.000Z,5,Great product at great price.,I've wanted a kindle for a while and decided to get it when BB put it on sale. I am not disappointed.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,drd1,B00ZV9PXP2,2016-10-01T00:00:00.000Z,5,Great reading tool,I have several Kindles so knew what to expect. It is a great reading device and I keep several in different locations.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,MrPhilTX,B00ZV9PXP2,2017-09-01T00:00:00.000Z,4,Great reader but not perfect,"I like this e reader, but wish the screen were higher resolution. It requires decent light to look good, but it is easy on my eyes. The screen updates involve flashing the whole screen, which I noticed less over time. The advertised month long battery life is just standby time, it lasts much less if you are downloading and reading books.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Jeff,B00ZV9PXP2,2017-08-26T00:00:00.000Z,4,Great product,My fiancée really enjoyes it! I would definitely recommend.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,flexorcist,B00ZV9PXP2,2016-12-09T00:00:00.000Z,4,Great Product,"Simple, great buy for your money if you are an avid reader.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,mother,B00ZV9PXP2,2016-10-08T00:00:00.000Z,4,good design,I like the changes that have been made since my current 4 year old unit was purchased,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,dk22,B00ZV9PXP2,2018-01-05T00:00:00.000Z,5,kindle touch,Fits nicely in your hand and its touchable. increase the size of the fonts,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,JimA,B00ZV9PXP2,2017-03-16T00:00:00.000Z,4,Great,"Great buy, do a lot of reading and he no glear screen is awesome while in the sun.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,yespicklejuiceisgood,B00ZV9PXP2,2017-11-15T00:00:00.000Z,4,Useful and practical,I lie the size and weight for the kindle-makes it very convenient to take large books with me in digital format.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,AB79,B00ZV9PXP2,2017-05-19T00:00:00.000Z,5,Great for book reader,Great price and works great for book reading. Would recommend,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Vincent,B00ZV9PXP2,2018-01-28T00:00:00.000Z,5,This is my new baby,Got it when it was on sale. Totally fall in love with it. Bring with it me everywhere.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Khan,B00ZV9PXP2,2018-01-20T00:00:00.000Z,5,Great ebook reader,I never used kindle before. My wife gifted me on my birthday. This is the amazing product. I am using it for daily reading. The display is fantastic and no strain on eyes.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Faithfy,B00ZV9PXP2,2018-01-01T00:00:00.000Z,5,Excellent,I bought this with paper white and didn’t see much of a difference in terms of resolution and use. I totally recommend this reader as it’s so small and powerful!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,richard,B00ZV9PXP2,2017-10-07T00:00:00.000Z,5,Great product,The sales people are really nice and knowledgeable to me I will come back again,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Ed51648,B00ZV9PXP2,2017-01-30T00:00:00.000Z,5,A Terrific and Highly Appreciated Gift,I'm a longtime Kindle user and jumped at the opportunity to bring my granddaughter into the fold with this gift. She loved it!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,TinLexington,B00ZV9PXP2,2017-03-16T00:00:00.000Z,5,Good Product,"Overall good product, does what is advertised, comfortable to use.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,DustinS,B00ZV9PXP2,2018-02-21T00:00:00.000Z,5,Love this little e-reader,"The kindle has come in very handy lately, I always have a book to read and this is great to just grab on the go. Battery life is great, only drawback is no backlight.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Juj14,B00ZV9PXP2,2017-01-11T00:00:00.000Z,4,Loving it!,"I am loving my new Kindle! I have wanted one for a while and finally bought one, and even though it was the cheapest one, it has exceeded my expectations. I love how there is no glare.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Hikjer,B00ZV9PXP2,2016-12-26T00:00:00.000Z,5,Love the touch screen,"I already has an older version of the Kindle, but this one is even better. I love the touch screen and the ability to scroll without buttons.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Msimon,B00ZV9PXP2,2016-10-22T00:00:00.000Z,4,For mom,"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,gpro1,B00ZV9PXP2,2017-11-15T00:00:00.000Z,5,"Great product, well designed","Amazon kindle products have always been reliable, consistent quality and this is no different. Very happy with it.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Satyendra,B00ZV9PXP2,2017-12-16T00:00:00.000Z,4,great,working well and very cheap if we think in the price way,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Mark,B00ZV9PXP2,2017-02-18T00:00:00.000Z,4,Good reader,"The battery doesn't last as long as was advertised, if you have the money I would recommend the backlit model.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Splorticus,B00ZV9PXP2,2017-01-31T00:00:00.000Z,5,Great mid-range Kindle,"This Kindle doesn't have a lighted screen like the pricier models but it has a higher dpi screen than the lower model. It's exactly what I needed, nothing more, nothing less. I've had no problems with the reader at all so far so I'll give it 5 stars.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Chris,B00ZV9PXP2,2017-01-06T00:00:00.000Z,3,Good for books,The kindle is good to download apps for books catch up with reading,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Carolyn,B00ZV9PXP2,2018-03-03T00:00:00.000Z,4,"Small, light and easy to read","After the first one stopped working after only 3 weeks-best Buy replaced it with no fuss and it's going great. Small, lightweight (so fits in a purse/handbag) and with the anti-glare screen you can read in direct sunlight",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Stu76,B00ZV9PXP2,2017-04-28T00:00:00.000Z,5,Great reader with long battery life,"I bought this Kindle Paperwhite for my son to use at school, instead of his more expensive and delicate tablet. The display options make it adaptable for just about anyone, and is much easier on the eyes when reading for an extended period of time. Please keep in mind that this does not have a glowlight. The Kindle is durable, and although I bought a case for it, a case really isnt necessary if you are relatively careful with it. The most surprising thing about this has been the extra long battery life. My son is an avid reader, and noticed that he needs to charge his Kindle considerably less than when he uses his tablet.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,mao1,B00ZV9PXP2,2016-09-10T00:00:00.000Z,5,easy to use,"Great item, easy to use,would recommend to anybody want to use!",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,fitfreak,B00ZV9PXP2,2017-12-13T00:00:00.000Z,5,Fabulous Gifting item.,I bought this as a gift to my dad and he loves it. Well worth if you dont plan on reading in dark.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,jay5,B00ZV9PXP2,2018-05-07T00:00:00.000Z,5,great e book,the future of reading you just have this and it is like a whole library,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,johnjohn,B00ZV9PXP2,2017-01-08T00:00:00.000Z,5,great update,"I bought this for my daughter, wanting to get her a kindle without having access to games (like with the kindle fire). This latest version of the kindle is excellent. I am jealous of my daughter and now am thinking about upgrading from my older kindle. The touchscreen is responsive. If you like reading on the kindle, it is worth the update.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,KEBB,B00ZV9PXP2,2017-11-30T00:00:00.000Z,5,Great E-Reader,"This is a great way to read books on the go. There's no backlight, so reading in darker rooms may be hard. But it's affordable and portable and a great way to take all your books with you.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,yhmitchell,B00ZV9PXP2,2017-03-31T00:00:00.000Z,5,Great Product,"I love the Kindle, it is a great product. It reduces eye strain so I enjoy reading on it. This is my second Kindle.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,JQisntadumbass,B00ZV9PXP2,2018-01-06T00:00:00.000Z,4,unbeatable price,i bought this as a backup. I am currently using the same headphone.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Robert,B00ZV9PXP2,2017-12-21T00:00:00.000Z,5,Amazon Kindle is Perfect,"We got the Kindle for our daughter who accompanied us to try out the two Kindle models. We were willing to buy either one and we assumed she would want the more expensive one with the backlighting feature. But as she tried both, she gravitated with certainty toward the basic model. ""Why would U want to read in the dark?"" She said. As the weeks and months have gone by, she says she's completely happy with the basic Kindle, it's exactly what she wanted. Perfect.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,akilanmc,B00ZV9PXP2,2018-01-11T00:00:00.000Z,4,Good,"Good, able to read under bright sunlight conditions too",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,cookie1982,B00ZV9PXP2,2016-10-08T00:00:00.000Z,5,good for my teenager,Very easy to handle. many books to choose from and very convenient,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Bubba,B00ZV9PXP2,2017-09-01T00:00:00.000Z,5,Love to read,I purchased this product because I love to read and buying books got costly. With this product I can read all I want for 10.00 a month,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Skip,B00ZV9PXP2,2017-12-08T00:00:00.000Z,5,Works,it is smaller than i thought but it gets the job done.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,thehands,B00ZV9PXP2,2017-02-02T00:00:00.000Z,5,Finally started reading again,"Love my new Kindle! I hadn't read in a while and hesitant of a kindle, easy to use, lightweight and convenient to pick up a book. great for outdoor reading. only downside is if you want to read in the dark has no back light. crisp clear text and easy to set up.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Priyesh3d3,B00ZV9PXP2,2017-01-23T00:00:00.000Z,5,Nice Product of Kindle begineers,"Product is good, light. Amazing battery backup. I charge the Kindle one in 4 weeks. Great product for reasonable price. USB connection is easy, Books are easy to download. Overall, everyone must have Kindle with them and this is the best product/model to start with.Understandably, this is the beginner level model for people who never used Kindle before. Features like LED lights, White paper background are not available on this model. These features are there on higher models so one cannot read it in Dark without lights. But again, for this price you would not get any other good readers.If you are someone who reads in dark then I would suggest go for Higher Kindle models.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,VirginiaSlim,B00ZV9PXP2,2017-03-25T00:00:00.000Z,5,Great E-reader,Kindle is the perfect E-reader. Easy to use and size is perfect to bring 'book' on the go.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Betty,B00ZV9PXP2,2017-12-22T00:00:00.000Z,4,Great product for its purpose,Easy to use and it arrived exactly as described. Good beginner device for youngsters who want a device to read from.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Kev,B00ZV9PXP2,2016-10-30T23:02:29.000Z,1,Don't bother,Looking at the picture and seeing it was 8th generation I assumed it would be a great device. I had an original Kindle but I stopped using it because it wasn't backlit. I thought an 8th generation would be backlit and the picture makes it look backlit but it is not. After 25 minutes on the phone with Amazon trying to make it brighter the technician finally realized that 8th generation is not supported with backlights. I took it back to Target and purchased The Paperwhite which was more money but definitely worth it. The 8th generation one is smaller so I assumed that was the reason for the price difference. Target made the experience pleasant.,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Jeff,B00ZV9PXP2,2017-08-26T00:00:00.000Z,4,Great product,My fiance really enjoyes it! I would definitely recommend.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Ckkparker,B00ZV9PXP2,2017-07-10T00:00:00.000Z,3,"Amazon Kindle, Black","For me, the Kindle Black was not a good fit for me. There are times I read at night in bed when my husband is sleeping. This model doesn't have a back light so I'm unable to read at night without turning on a light and waking up my husband.So I returned and went for a Kindle Fire.",FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,slgtr1,B00ZV9PXP2,2018-01-23T00:00:00.000Z,5,The best device for reading,"It is still the best device for buying books and reading them. However, go with kindle paperwhite if you read books in dark places.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,richard,B00ZV9PXP2,2017-10-07T00:00:00.000Z,5,Great product,Great product and service and the sales man r really nice.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,MusicMan,B00ZV9PXP2,2017-03-17T00:00:00.000Z,4,The home screen is not terribly easy to navigate.,"When you first turn on the kindle, the home screen does not make it easy to determine exactly how to open up and read a downloaded book.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,BiggerTigger,B00ZV9PXP2,2018-01-17T00:00:00.000Z,5,Light and easy,"My wife loves it, replaces a Kindle from like 2003.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Jessa,B00ZV9PXP2,2017-06-30T23:22:13.000Z,4,Should have bought paperwhite,"It's small, light, and easy to read from. I just wish I would have spent the extra 30 bucks and got the paperwhite. The more i use this one the more I wish I had the option of a backlight. If you're on the fence as I was, go with the paperwhite! However if the backlight is not an issue, this device is great and I would recommend it.",FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Ashish,B00ZV9PXP2,2018-03-21T00:00:00.000Z,3,Good for entry level reader,This device is good for entry level reader only in daylight.Its doesnot support reading in dark. To read in dark you will have to purchase a light or cover case with light attached. I either case it will put a lot of strain in your eyes.,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Theresa,B00ZV9PXP2,2016-08-26T00:00:00.000Z,4,Great Kindle quality for a reasonable price.,"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,kcladyz,B00ZV9PXP2,2018-01-13T00:00:00.000Z,2,ughhh ok,it would not load my books proper. took a dozen tries erasing an dreregistering. screen too dark,FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,johnjohn,B00ZV9PXP2,2017-02-18T00:00:00.000Z,5,Child loves her Kindle,"I bought this for my daughter. It is our 4th Kindle bought within the family. The touchscreen is great and my daughter loves it. In fact, those of us with older model Kindles are jealous.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Fievel22,B00ZV9PXP2,2016-11-25T00:00:00.000Z,3,Good for the price,"This is a pretty cool little device. Im able to download books through wireless and read them later at my convenience. Only drawback is I wish it had more storage. But for the price, it works good.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Yo40,B00ZV9PXP2,2017-04-12T00:00:00.000Z,5,Kindle,Exactly what I was looking for size wise and functional.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Tfisher,B00ZV9PXP2,2017-04-28T00:00:00.000Z,4,Love my kindle,"As always, great job! Very easy to use and it's always with me. Only problem I have is the button on the bottom is touchy, but not really an issue. Keep up the good work",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Barisch,B00ZV9PXP2,2017-11-17T00:00:00.000Z,4,Can convert pdf to kindle format,"I especially like the Amazon has a system to convert pdf to kindle format. Some of the things I read (journal articles) are in pdf format and I can email them to my kindle email and it shows up on my kindle with kindle format (larger text). You can find your kindel email at your account information. Only thing, I would have like a screen little larger.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Nastasiya,B00ZV9PXP2,2018-02-16T00:00:00.000Z,5,I like it.,Im happy to have it. Very comfortable and easy to use every where,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,WINDY,B00ZV9PXP2,2016-12-14T00:00:00.000Z,4,NEW AND IMPROVED,"This is my eighth Kindle. Some others were either lost or screen-damaged. I bought it as a spare. Current model is better looking than earlier versions (white case), sturdier, and has an improved screen. Great price also; wish I'd bought two.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,noname,B00ZV9PXP2,2016-12-22T00:00:00.000Z,5,good product,My nephew is going to college next year and we want to give him a gift. Kindle suits it well for him to learn and study.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,ddrraz,B00ZV9PXP2,2017-04-21T00:00:00.000Z,5,great device,Excellent lightweight way to take a lot of reading materials along when traveling.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Lauri,B00ZV9PXP2,2018-02-19T00:00:00.000Z,4,Great e reader,"I love my Kindle! I'm back to reading so much more often as I always have several books with me at all times! At first it surprised me that this version doesn't have a back light and you need a light to read, but I actually like it now as I don't get the eye strain like I do when using my phone.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,frheel9,B00ZV9PXP2,2018-01-21T00:00:00.000Z,3,Okay,"I love having real books, but these are great for travel and keeping your bookshelves lighter. I wish you could buy them with larger storage without having to buy the larger size pad. It also sucks that they are 4gig, but 1gig is taken up by the OS and advertising. Seriously? It reads PDFs and needs a 1 gig OS. Lame. The last thing I would change is being able to reverse the lettering so at night you could have white lettering and a black background, so it's less bright on the eyes.",TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,wcy405100,B00ZV9PXP2,2017-01-07T00:00:00.000Z,5,nice gift,It's a perfect gift for young adult during the holiday session.,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Mickey,B00ZV9PXP2,2016-12-08T00:00:00.000Z,2,"The screen is too dark, and cannot adjust it","The screen is too dark, and cannot adjust the brightness",FALSE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Elle,B00ZV9PXP2,2017-12-23T00:00:00.000Z,5,Great kindle for the price.,I should have purchased a kindle sooner. It's easy to use and I love it!,TRUE
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Brian,B00ZV9PXP2,2018-02-06T00:00:00.000Z,5,Great Item,This was purchased as a gift and they've absolutely loved it.,TRUE
