Unnamed: 0,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Carter,53-004484,2017-02-13T00:00:00.000Z,5,good tablet,"Bought this for my elderly mother who was wanting the ability to read and/or listen to books. After a slow start getting her going (she is not tech savvy) she is really enjoying the versatility of this tablet. Although it does not have cellular data ability, which she had no use for, it gives her the flexibility to connect to wireless networks when she makes her weekly casino visits.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Streetglide,B010CEHQTG,2017-07-20T00:00:00.000Z,3,It's fun but not great,"The sound quality is good,Alexa responds to commands but their is room for improvement",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,happ,53-004729,2016-06-04T00:00:00.000Z,4,The Amazon Fire is a great reading instrument.,"I am an ""old"" traditionalist and have always read from paper or hard back books. Now I don't lose what page I was on and have more shelf space where books used to be.",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Tricey,B018Y225IA,2017-01-06T00:00:00.000Z,5,Great tablet!,"I bought this tablet for my three year old niece. It was easy to set up for her, and she loves it. I also purchased the Kids Free case, to protect it.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,LDLL,B06XB29FPF,2017-12-02T00:00:00.000Z,5,Love the echo,I had 3 dots and decided to get the echo plus. Great product so far. Controls my hue lights. Grandkids love asking it questions.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Isaac,53-004755,2016-10-19T00:00:00.000Z,4,Good tablet for infants,My 2 years old daughter really likes it. It's friendly and easy to use.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Easyeddie66,B018Y225IA,2017-05-07T00:00:00.000Z,5,Love it,Out of the box this was easy to set up and even easier to use,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Dree,B018Y225IA,2016-12-07T00:00:00.000Z,5,Kindle hd7,Smaller overall size with the same screen size of our older kindle fire. Faster processor.,True
AVqVGWLKnnc1JgDc3jF1,AVqVGWLKnnc1JgDc3jF1,Blue,53-004683,2016-12-24T00:00:00.000Z,5,Great,Great..I love it..Glad I got it..My nephew loves it.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,RAJKIRAN,53-004729,2016-07-26T00:00:00.000Z,4,Great to use and handy,"Here are my pros and cons thus far.PRO:Perfect size for Ebooks, and web surfing to alleviate strain on the eyes from my 5"" phone displaynice sturdy casing that gives it a nice heft but still weighs in as one of the lighter tablets on the marketChild Accounts- Amazon allows you to set up this tablet with age restricted access for kids making this a low cost piece of tech that is perfect for school kids and allows mom and dad to ration the amount of time lil Johnny can play Clash of Clans and how much he can hit the ol' Visa card for.Battery life thus far; wife was on it for about 5 hours last night and battery was at about 46%Kindle Integration -this goes without saying but having my ebooks and audible books synced to the tablet is awesome and my Kindle books look great",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Hermosa,B018Y225IA,2017-02-20T00:00:00.000Z,5,great for my daughter to view videos,My daughter loves her tablet because she can carry it to all places,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Rich,B018Y224PY,2017-02-17T00:00:00.000Z,4,Decent Tablet,This is your basic Amazon taplet. Nothing too special about it.,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,Kleber,53-004496,2017-08-15T00:00:00.000Z,5,Recommended,"Powerful and quality sound, love the portability. Just don't understand why this one can't read my notifications while the dot can.",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,DonnaB,B018Y225IA,2016-06-25T00:00:00.000Z,5,Love my Kindle,I was resistant to putting down my real books and begin using a kindle. I'm so glad I did. It's so convenient to shop and instantly download a book. Plus no more storing hundreds on books in my house.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,SATECH,B010CEHQTG,2018-01-12T00:00:00.000Z,5,Awesome for camera monitoring,Enjoy being able to view my Ring doorbell camera in live time upstairs,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Yoli91,B018Y225IA,2016-05-27T00:00:00.000Z,5,Great!,"Good tablet for my daughter! She loves it ,but she gets annoyed how the battery runs out quickly!",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Mzmoulder,B018Y225IA,2017-05-03T00:00:00.000Z,5,Great buy,My son uses his tablet on a daily basis. He makes sure he has his case on it and can use all the apps. I can also use it and put on parental protections.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Ana778941352,53-004755,2017-01-24T00:00:00.000Z,5,Good tablet,I definitely recommend this tablet is so perfect for children.,True
AVqkIiKWnnc1JgDc3khH,AVqkIiKWnnc1JgDc3khH,lasmileysm,53-004761,2016-11-18T00:00:00.000Z,5,Excellent buy,"Awesome and best e-book reader. I love the smooth page translations, bedtime shade and perfect hand held device. Kindle Fire has took their e reader to the next level. Great apps, music, and storage expansion for the price.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Anncap,B010CEHQTG,2018-03-21T00:00:00.000Z,5,Great product,"I love the echo show. It is a personal assistant, DJ, weatherman & news person all in one. This is our second Show. We love the video qualties & the sound can't be beat.",True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,rpspider,B018Y224PY,2016-09-09T00:00:00.000Z,5,They love it,"Got it for the kids and they love it. I am also a prime member as well there are so many great things for members, movies, apps, games and shows that are free. If you are looking for a simple tablet to help occupy some free time look into one.",True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Robert,B018Y224PY,2016-08-05T00:00:00.000Z,5,Good and cheap,"Bought it for my wife and I haven't heard any complaints, so I think it's great. If she's happy I'm happy",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Suppy1020,B018Y225IA,2017-01-23T00:00:00.000Z,4,Fire 7 Tablet,It is very simple to start up and use. Great for all ages and experience on using tablets.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Weritabonita,53-004484,2017-05-19T00:00:00.000Z,5,Great Tablet,"Bought this for my son,, the size is perfect not too small not too big. Kid friendly..and easy to use. Overall o rate it 5 stars..no problems to list",True
AVpfIfGA1cnluZ0-emyp,AVpfIfGA1cnluZ0-emyp,BEN1,55-000662,2016-10-08T00:00:00.000Z,5,"Great Service, great purchase",I found that I was immediately sked by a staff member if I needed help. I received good advice and shown similar alternative products. What I bought was perfect for what I wanted. The price was quite reasonable.,True
AVpidLjVilAPnD_xEVpI,AVpidLjVilAPnD_xEVpI,Butterfingers,53-004648,2017-07-19T00:00:00.000Z,5,10 inch Kindle,Nice tablet and very fast/capable. The storage options are way better than the previous models. I would highly recommend this tablet to anyone in the market for one.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Molly,53-004729,2016-07-02T00:00:00.000Z,4,It was the I deal gift for my gran child,It great just a little small then what I would like it have been,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,kev723,53-004484,2017-03-26T00:00:00.000Z,4,Does all that I need.,Has meet all my needs plus some. Recommend you buy a good stylus pen at the same time.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Shep,53-004484,2017-01-06T00:00:00.000Z,4,Kindle Fire,Great tablet! My son really likes it to read and also to play games!,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,hulio5,53-004496,2017-07-21T00:00:00.000Z,3,Not as great as the Echo,"I wouldn't buy it again...the software doesn't seem as well integrated with the hardware on this machine. I also have an Echo and I don't have the same connectivity issues with it that I do with this. I liked the features available with this...portability mainly with a long battery life, but with plagued by connectivity issues I can't say I would recommend it. I have looked at reviews online since purchasing and have discovered I am not the only one that feels this way. The sound, when it is connected and responding, is amazing.",False
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Boymikey77,B010CEHQTG,2018-02-02T00:00:00.000Z,5,It’s great,I really love it I use it everyday and it works great,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Auntie,53-004755,2017-02-02T00:00:00.000Z,4,christmas present,"This was a Christmas present for my niece, she loved it.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Arra,53-004755,2016-12-30T00:00:00.000Z,5,Great kid tablet,"So we gave it to my 1yr old for christmas, on the box it says if you break any way theyll replace, 30sec after opening he throws it down and jumps on .... works great lol loves watching spongbob on lol",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Raiderrulz,53-004729,2016-10-01T00:00:00.000Z,5,Great first tablet for kids,My kids read books play games take pictures they love this.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,sofiasmom101,53-004755,2017-01-16T00:00:00.000Z,5,Best tablet out there for kids!!,"I purchased this tablet for my 4 year old daughter and its FANTASTIC! Its durable and very user friendly! Love all all the free educational games, movies & books!",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,LabCab,B018Y225IA,2016-09-10T00:00:00.000Z,5,Easy start up,All data from previous Kindle self loaded and was a seamless transition from old to new unit.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,pewterz,53-004729,2016-06-25T00:00:00.000Z,5,great tablet for the price,great tablet for web access and works well gaming no reason to spend more unless you need a larger screen,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Dylanika,53-004755,2017-01-18T00:00:00.000Z,5,Perfect for kids!,Easy to set up and turn on and off restrictions. Piece of mind that daughter can't access adult appropriate content,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Jaes,53-004484,2017-01-30T00:00:00.000Z,5,Great every day tablet,This was a gift for mom. She enjoys that it's easy to use and has good picture and sound quality. The price was also great,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Somebody,53-004484,2017-01-18T00:00:00.000Z,5,Easy to use,Bought this for my son and he absolutely loves it!,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,BillyC,B06XB29FPF,2017-12-22T00:00:00.000Z,5,Daughters Christmas Gift,"This was a gift that I gave to my daughter at our family Christmas party. She loves it, especially the ease of set up and the attached hub so she can control her lights & her nest thermostat. This has also gone over well with the Grand Children.",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Firekindle,B018Y225IA,2017-04-14T00:00:00.000Z,1,Kindle is overrated,"Too proprietary, the apps my daughter liked I could not install on it for her so basically it was worthless for me and I returned it.",False
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Sunny,B018Y225IA,2016-08-06T00:00:00.000Z,4,Good tablet to watch videos,I got this tablet on a deal and has good quality of video you can watch.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,John,B010CEHQTG,2017-06-28T00:00:00.000Z,5,Pretty Cool,"I got two of these, super easy to set up. Only used them one day so far.Can't fine one thing I don't like about them.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,tasmin,B06XB29FPF,2018-01-05T00:00:00.000Z,5,Good Gift,This works well as it was a gift and connected without issue along with the other two.,True
AVqVGZO3nnc1JgDc3jGK,AVqVGZO3nnc1JgDc3jGK,drdread,53-003778,2017-04-07T00:00:00.000Z,4,Excellent product.,"Got me reading again! Love the merlot cover. This one is the smallest of all the kindle products I believe, and that's a big reason I picked. Also the lightest I believe. Battery life is forever.Two negative points are the Amazon logo in the cover, and the fact you can't do inverted text (black background white text).Those 2 points dropped it from 4 to 5 star for me.Still highly recommended.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Nick,53-004729,2017-05-12T00:00:00.000Z,4,Good tablet,This is a good tablet for my son to use to play his games.,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Toddler,B018Y224PY,2016-12-24T00:00:00.000Z,5,Im so happy with this product - Reading is GREAT!,I APPRECIATE the ease of purchasing and reading ! I have found every book title I want plus the recommended books have led me to find new Authors!,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,ladystix,B06XB29FPF,2018-01-14T00:00:00.000Z,5,Great product with great sound,Love the bigger speaker and the quality of sound with this product. Like turning on bedroom light with Alexa.,True
AVpidLjVilAPnD_xEVpI,AVpidLjVilAPnD_xEVpI,Turtle,53-004648,2017-01-18T00:00:00.000Z,4,Fun and Easy to Use,"I got the amazon Fire HD 10 for reading and other activities. It was very easy to set up. Netflix worked ok on it. It mostly works well, but there are limitations to the apps that are available. I tried it out for a while and then returned it for a Samsung S2 9.7.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Jess,B06XB29FPF,2018-01-21T00:00:00.000Z,5,Easy to set up,"Love the echo plus. Easy to set up with comparable extras, has simplified so many things in my home. Takes some getting to use to but patience and practice and males all the difference.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Bill,53-004729,2016-09-03T00:00:00.000Z,4,Does what I want,A good product that provides the services I desire.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,C3nturion1,B010CEHQTG,2017-07-19T00:00:00.000Z,4,Gift to client,Added screen a great features visual effect a plus,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Supercow56,53-004755,2017-02-03T00:00:00.000Z,4,Great. But...,Great for the child. Unfortunately it doesn't have a volume limit setting,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jeanne,B010CEHQTG,2017-12-27T00:00:00.000Z,4,Very well received Christmas gift,"Very impressed; set up a little confusing, but overall a good experience. Still learning. However, Best Buy emails give away any gift secrets !! Had to reset my account to a work email address.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Michelle,B010CEHQTG,2017-12-01T00:00:00.000Z,5,Echo show is easy to use,"Love the echo show so much! Easy to use, connects to your mobil phone to easily call people!",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Gonzolean,53-004729,2016-07-18T00:00:00.000Z,4,Amazon Fire 7 tablet 16gb,"Great buy after owning the original kindle Fire, it's very versatile and shows the progress made from the original. You can't lose and pair it with Amazon Prime.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Mom94,B06XB29FPF,2018-01-17T00:00:00.000Z,5,Great tech/Great lighting,"This smart bulb works with Amazon echo Plus. It can be turned on and off and also dimmed. The echo Plus is amazing - can play music, control TV and answer many questions.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,TerryB,B010CEHQTG,2017-12-25T00:00:00.000Z,5,Amazon Alexa Show,"Great video quality, sound/music from a rather small device. Seems well made, entertaining, and more functional as we learn its many features.",True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Jimmy,B018Y224PY,2016-08-20T00:00:00.000Z,4,Great tablet for price,I bought this as a gift and it has performed perfectly. Can't beat at this price.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Jigs,53-004484,2016-12-08T00:00:00.000Z,4,Great budget tablet,Bought it on black Friday for 60$ .Value for money tablet. It lags at heavy tasks and also apps are reloaded when 2-3 apps are opened at same time. But at this price it is expected. Go for it if budget is <100$.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Diana,B010CEHQTG,2018-01-17T00:00:00.000Z,4,Great except cannot watch Netflix or Hulu,"Very easy to use and good quality, nice picture and good size for a desk",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Zoom,53-004484,2016-12-09T00:00:00.000Z,5,Great Tablet for the price,This is so easy to use and does exactly what I hoped.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,DannyC,B010CEHQTG,2017-12-23T00:00:00.000Z,5,Very good product,"We love our echo show, It’s fun to use and she can do a lot of things.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Hilti,B010CEHQTG,2017-12-20T00:00:00.000Z,5,lots to love,I live the echo show! So easy to set up and use. I have one in the kitchen and one in our main bathroom.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,ycart,53-004755,2016-09-28T00:00:00.000Z,5,great tablet for kids,Picked this up for my two year old granddaughter. She loves it and its the first thing she picks up to play with. She can play a lot of the age appropriate games and can navigate around really easily. I even use it sometimes!,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,rpmrtn,B010CEHQTG,2018-01-06T00:00:00.000Z,5,Fun new Amazon device,"This Alexa device is great fun, and useful for several personal assistant type applications. I use it in conjunction with some TP-Link Light switches, and it works flawlessly. It is nice to see the lyrics to songs she plays, and calling other people who have the show or spot works well. She is also really good at setting reminders and alarms. Another useful feature is as an in home intercom.",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Dave,B018Y225IA,2016-07-29T00:00:00.000Z,5,Great for kids,Purchased this for 6 year old boy and couldn't be happier,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Loca,B06XB29FPF,2018-04-18T00:00:00.000Z,5,I love this so much,This product is so very convenient I have day I don't want to get up and she helps me,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,MissouriGirl,B06XB29FPF,2017-12-23T00:00:00.000Z,5,MO girl,Purchased Alexa Echo Plus instead of bridge for smart home. Alexa is great!! Smart home setup was easy.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Connie,B018Y225IA,2016-06-24T00:00:00.000Z,2,Disappointed,"Loved my husbands 4th generation disappointed in my 5th generation. 4th generation has 2 speakers and sound is much louder than the current 5th generation. I purchased this expecting the same quality in sound, or better, since I use the kindle to watch my TV shows.",False
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,JMJ6,B010CEHQTG,2018-01-18T00:00:00.000Z,5,Mom In The Kitchen,She is not a technical person but enjoys the screen feature and uses it for cooking recipes.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,chadc,B010CEHQTG,2018-01-13T00:00:00.000Z,5,Love it,"We use it to talk to our granddaughter, play games, listen to music and check on the dog while we are at work! Awesome device! We already bought one for our kids also!",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Grandpa,53-004755,2017-01-06T00:00:00.000Z,5,Great tablet for a child,My Grandson loves his tablet we got him. Very safe,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Flash,53-004755,2016-10-23T00:00:00.000Z,5,Great product,Good tablet for a 1 yr old. At first was not interested and still not but bought in in case and maybe one day if they decided to use it on a road trip. Good product for the price,True
AVqkIh8WQMlgsOJE6fu-,AVqkIh8WQMlgsOJE6fu-,Ryan,4591,2017-04-04T00:00:00.000Z,5,"Great product, pick up process was fast",Ordered for my daughter to replace an older version and she loves it. Larger screen and colored case are a big plus.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Jinzheng,53-004484,2017-02-17T00:00:00.000Z,4,Good purchase,"Got this to replace the Samsung tab A 7"". That Samsung tab lagged a lot but I haven't seemed to have as much problems on the fire tab, the only downside is that the battery dies fast.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Mags,53-004755,2016-12-23T00:00:00.000Z,5,Perfect for toddlers,This is excellent for toddlers and also as they grow. Numerous things they can do on it and also nice to be abke to control it as a parent.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,BlindSeer,53-004484,2017-03-04T00:00:00.000Z,4,Was a gift,"Reciever of this really likes and and says its a step up from the fire hd7, so I guess that is what counts.",True
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,Msimon,B00ZV9PXP2,2016-10-22T00:00:00.000Z,4,For mom,"Bought this for my 90+ year-old, totally no-tech mom. Her first e-book is Gone with the Wind. She likes the size and ease of use.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Freebird,53-004729,2016-06-25T00:00:00.000Z,5,Great value,"Amazon keeps getting better. Tablet now has option to move icons, set wallpaper and more. With added SD card option, is even better.",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,slappy1,53-004484,2017-04-15T00:00:00.000Z,5,Great for kids,Just lock the card out and let the kids go crazy!!,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Jess,B06XB29FPF,2018-01-26T00:00:00.000Z,5,love it!,i was weary about it at first but it was easy to setup and get the hang of and definitely makes life easier!,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,eddylaura,53-004496,2017-08-17T00:00:00.000Z,5,Use it every day.,Happy I bought this. Makes everything easier to control.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,tonychavez,53-004729,2016-08-27T00:00:00.000Z,5,very googd product,is very good product and the difiitioin is very good thanks,True
AVqVGWLKnnc1JgDc3jF1,AVqVGWLKnnc1JgDc3jF1,Terry,53-004683,2017-05-08T00:00:00.000Z,5,Grandson's Birthday Gift,My grandson loved this. He is 4 and it was perfect.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,kingandmuvasworld,53-004755,2017-02-23T00:00:00.000Z,4,Great tablet for internet users,I bought this tablet for my son and he enjoys using it the only thing I don't love is that u need internet to use most apps on it and you cant download youtube kids. It has a lot of apps though and a lot of learning material for all ages.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,SamtheSham,53-004484,2017-01-18T00:00:00.000Z,5,Nice tablet,"Works well; no issues with reboots or system hangs.. Good size - not too big and not too small. Screen is good for reading. Battery life is good, I've bought a few books from Amazon but mostly side-loaded books from the library onto a 32 GB micro sd card.",True
AWK8z0pOIwln0LfXlSxH,AWK8z0pOIwln0LfXlSxH,KACI,B01J24C0TI,2017-12-22T00:00:00.000Z,4,GIFT FOR FAMILY MEMEBER,I have not used this as it is a gift for my parents. Will see how they like it.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Mrgoodtime,B06XB29FPF,2017-12-22T00:00:00.000Z,5,Awesome,Love how it hooks up to lights. And can play any music,True
AVpidLjVilAPnD_xEVpI,AVpidLjVilAPnD_xEVpI,JenniferLNM,53-004648,2017-02-13T00:00:00.000Z,5,Love it!,The display is so much better than my previous Kindle Fire and have found more uses for it. It's nice to pull up my Comcast app and watch shows while working out on the treadmill. It was a pleasant surprise to find that Alexa was loaded as well!,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Shutterbug,53-004755,2017-01-23T00:00:00.000Z,5,Not just a toy,Child loves it. Can be used for more than just a time killer. Can learn from it.,True
